,ar-0,ar-1,ar-2,ar-3,pr-0,pr-1,pr-2,pr-3,n-class-0-latency,n-class-1-bw,n-class-2-bw
0,16.0,15.0,22.0,10.0,100.0,82.0,65.0,41.0,0.21494383584739257,0.6086967447426472,0.21260959242647046
1,37.0,5.0,15.0,1.0,88.0,23.0,57.0,47.0,0.2143070014767092,0.19059996402573529,0.3996453741911762
2,27.0,7.0,25.0,24.0,93.0,94.0,88.0,99.0,0.2147991225455844,0.5305437480882355,0.19112579961397083
3,13.0,29.0,23.0,24.0,80.0,99.0,97.0,94.0,0.2147861468304948,0.5450166324080883,0.17633946499999978
4,3.0,37.0,23.0,7.0,71.0,95.0,59.0,31.0,0.2130002010189397,0.6656793110294119,0.17682611963235287
5,0.0,45.0,0.0,13.0,49.0,89.0,57.0,86.0,0.21186216247709241,0.6588047915257353,0.13838541849264713
6,51.0,22.0,0.0,24.0,90.0,84.0,79.0,99.0,0.2146823975193449,0.6236647858272055,0.09376897538602944
7,8.0,0.0,17.0,23.0,73.0,36.0,77.0,100.0,0.21438783563420613,0.2765850985661765,0.4117438897794116
8,5.0,32.0,24.0,10.0,21.0,88.0,68.0,19.0,0.21396438562801223,0.6350360375367644,0.18657980582720582
9,16.0,2.0,32.0,14.0,92.0,59.0,100.0,81.0,0.21480835067463247,0.44420615693014726,0.3403014119485295
10,17.0,13.0,6.0,15.0,99.0,82.0,62.0,98.0,0.2149526432457849,0.6099682520955881,0.17481402450367647
11,27.0,34.0,29.0,6.0,92.0,82.0,92.0,68.0,0.2148659001773315,0.6061050822242652,0.2438288402389706
12,12.0,17.0,15.0,10.0,69.0,66.0,96.0,61.0,0.2148943257153295,0.49508617211397016,0.32120829117647065
13,36.0,18.0,0.0,2.0,90.0,63.0,36.0,72.0,0.21492449098156688,0.47356188301470625,0.2699835335845589
14,23.0,32.0,1.0,32.0,95.0,89.0,18.0,77.0,0.21471841022489072,0.6418566494485294,0.018091762849264722
15,19.0,10.0,8.0,18.0,71.0,43.0,57.0,66.0,0.21463948615307016,0.32754917351102947,0.3946542739154413
16,25.0,14.0,22.0,4.0,86.0,72.0,92.0,22.0,0.21483488596295708,0.5383390713786768,0.32108680279411755
17,5.0,15.0,13.0,25.0,75.0,82.0,66.0,100.0,,0.0,0.0
18,38.0,17.0,33.0,7.0,69.0,55.0,62.0,31.0,0.21460681014473218,0.41628777996323507,0.3990294302757355
19,1.0,8.0,12.0,67.0,67.0,25.0,51.0,71.0,0.20738471030300204,0.20043359097426464,0.27165965124999986
20,4.0,32.0,6.0,56.0,82.0,68.0,46.0,79.0,0.2098403311805027,0.4553609032720587,0.06098466773897055
21,8.0,29.0,34.0,0.0,48.0,99.0,96.0,70.0,0.21458910879801935,0.6387626423161772,0.2563274081249999
22,19.0,5.0,20.0,17.0,98.0,90.0,97.0,82.0,0.21488451300454214,0.6166801730514708,0.154350960992647
23,24.0,2.0,9.0,17.0,52.0,46.0,90.0,57.0,0.21467318020874285,0.3496461053492645,0.39451648213235313
24,27.0,25.0,16.0,2.0,84.0,93.0,92.0,32.0,0.214830559109957,0.6855387021507353,0.1911280785661765
