,pr-0,pr-1,pr-2,pr-3,ar-0,ar-1,ar-2,ar-3,pid,class-0-latency,class-1-latency,class-2-latency,class-3-latency,class-0-bw,class-1-bw,class-2-bw,class-3-bw
0,100.0,82.0,65.0,41.0,16.0,15.0,22.0,10.0,28527.0,1.488761,15.199755,28.655123,55.965832,7314.057378999998,132129.969603,48221.79789299998,21827.721599000048
1,88.0,23.0,57.0,47.0,37.0,5.0,15.0,1.0,27396.0,1.493185,49.181953,6.808514,15.747108,7326.202453999983,46208.715428000025,83325.71982200006,68458.27105399981
2,93.0,94.0,88.0,99.0,27.0,7.0,25.0,24.0,30342.0,1.489764,17.981981,32.676121,33.353054,7314.4150039999895,116056.66160299996,44029.173854000066,42744.47442499992
3,80.0,99.0,97.0,94.0,13.0,29.0,23.0,24.0,25923.0,1.489854,17.393381,35.277077,33.381458,7313.203828999992,119031.33868299997,41036.41032599998,42737.565041999944
4,71.0,95.0,59.0,31.0,3.0,37.0,23.0,7.0,28208.0,1.502346,13.34761,35.39529,61.356377,7310.748113999982,143748.09739799998,41185.33612499985,17180.266381999965
5,49.0,89.0,57.0,86.0,0.0,45.0,0.0,13.0,25711.0,1.510416,13.697089,42.031796,51.701817,7311.100992999986,142309.20313999994,33350.81577500008,26244.907368000055
6,90.0,84.0,79.0,99.0,51.0,22.0,0.0,24.0,28216.0,1.490574,14.816248,51.743279,33.53413,7316.97560499999,135181.24101899995,24252.500519000023,42758.860607000104
7,73.0,36.0,77.0,100.0,8.0,0.0,17.0,23.0,30292.0,1.492622,37.507599,5.788504,27.322042,7327.5089579999785,63893.92377799994,85282.68809999977,49184.474901999885
8,21.0,88.0,68.0,19.0,5.0,32.0,24.0,10.0,28479.0,1.495576,14.432038,33.54108,55.563789,7314.000192999987,137598.23802099994,43106.43192699998,21717.12397199995
9,92.0,59.0,100.0,81.0,16.0,2.0,32.0,14.0,29745.0,1.4897,22.455061,12.706142,45.616711,7311.577852999981,98356.57593499993,72620.73517099985,29863.266974999962
10,99.0,82.0,62.0,98.0,17.0,13.0,6.0,15.0,25891.0,1.4887000000000001,15.090585,34.795452,47.50996,7311.978410999991,132360.0721300001,40681.776996000124,29285.00657500008
11,92.0,82.0,92.0,68.0,27.0,34.0,29.0,6.0,29310.0,1.489301,15.452247,24.22961,59.920929,7314.415023999988,131673.1929870002,54427.17078199989,15944.085137999993
12,69.0,66.0,96.0,61.0,12.0,17.0,15.0,10.0,30693.0,1.489104,19.608709,14.735351,52.75388,7311.625525999986,108758.2969550001,69111.28520500011,23207.039862999987
13,90.0,63.0,36.0,72.0,36.0,18.0,0.0,2.0,28583.0,1.4888949999999999,20.62454,20.595097,37.83353,7312.822364999959,104308.00439899995,59559.51212699977,38340.978633000006
